user_id,device_Id,con_status,con_link,conn_sts_time,createdAt,updatedAt,serial_no
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764177574,2025-11-26T17:19:34.696Z,2025-11-26T17:19:34.696Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764178237,2025-11-26T17:30:37.333Z,2025-11-26T17:30:37.333Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764182580,2025-11-26T18:43:00.819Z,2025-11-26T18:43:00.819Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764182662,2025-11-26T18:44:22.496Z,2025-11-26T18:44:22.496Z,SPL1601X02000001
,ObjectId(6927852799ed342af827d336),true,1,1764197830,2025-11-26T22:57:10.154Z,2025-11-26T22:57:10.154Z,SPL1601X02000002
,ObjectId(6927852799ed342af827d336),false,,1764198127,2025-11-26T23:02:07.698Z,2025-11-26T23:02:07.698Z,SPL1601X02000002
,ObjectId(692784db99ed34a35b27d334),true,1,1764198286,2025-11-26T23:04:46.399Z,2025-11-26T23:04:46.399Z,SPL1601X02000003
,ObjectId(692784db99ed34a35b27d334),false,,1764198397,2025-11-26T23:06:37.860Z,2025-11-26T23:06:37.860Z,SPL1601X02000003
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764224170,2025-11-27T06:16:10.309Z,2025-11-27T06:16:10.309Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764224320,2025-11-27T06:18:40.099Z,2025-11-27T06:18:40.099Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764232999,2025-11-27T08:43:19.773Z,2025-11-27T08:43:19.773Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764233017,2025-11-27T08:43:37.517Z,2025-11-27T08:43:37.517Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764233066,2025-11-27T08:44:26.461Z,2025-11-27T08:44:26.461Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764233080,2025-11-27T08:44:40.575Z,2025-11-27T08:44:40.575Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764233143,2025-11-27T08:45:43.380Z,2025-11-27T08:45:43.380Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764233215,2025-11-27T08:46:55.714Z,2025-11-27T08:46:55.714Z,SPL1601X02000001
,ObjectId(692784db99ed34a35b27d334),true,1,1764233237,2025-11-27T08:47:17.048Z,2025-11-27T08:47:17.048Z,SPL1601X02000003
,ObjectId(692784db99ed34a35b27d334),false,,1764233280,2025-11-27T08:48:00.753Z,2025-11-27T08:48:00.753Z,SPL1601X02000003
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764233306,2025-11-27T08:48:26.694Z,2025-11-27T08:48:26.694Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764233307,2025-11-27T08:48:27.116Z,2025-11-27T08:48:27.116Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764233324,2025-11-27T08:48:44.627Z,2025-11-27T08:48:44.627Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764233390,2025-11-27T08:49:50.941Z,2025-11-27T08:49:50.941Z,SPL1601X02000001
,ObjectId(6927852799ed342af827d336),true,1,1764233435,2025-11-27T08:50:35.327Z,2025-11-27T08:50:35.327Z,SPL1601X02000002
,ObjectId(6927852799ed342af827d336),false,,1764234237,2025-11-27T09:03:57.088Z,2025-11-27T09:03:57.088Z,SPL1601X02000002
,ObjectId(6927852799ed342af827d336),true,1,1764234279,2025-11-27T09:04:39.364Z,2025-11-27T09:04:39.364Z,SPL1601X02000002
,ObjectId(6927852799ed342af827d336),false,,1764234296,2025-11-27T09:04:56.373Z,2025-11-27T09:04:56.373Z,SPL1601X02000002
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764234379,2025-11-27T09:06:19.341Z,2025-11-27T09:06:19.341Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764234436,2025-11-27T09:07:16.443Z,2025-11-27T09:07:16.443Z,SPL1601X02000001
,ObjectId(692784db99ed34a35b27d334),true,1,1764234459,2025-11-27T09:07:39.855Z,2025-11-27T09:07:39.855Z,SPL1601X02000003
,ObjectId(692784db99ed34a35b27d334),false,,1764234560,2025-11-27T09:09:20.471Z,2025-11-27T09:09:20.471Z,SPL1601X02000003
,ObjectId(69281e6099ed34ad4227ec17),true,1,1764237181,2025-11-27T09:53:01.152Z,2025-11-27T09:53:01.152Z,SPL1601X02000004
,ObjectId(69281e6099ed34ad4227ec17),false,,1764237273,2025-11-27T09:54:33.516Z,2025-11-27T09:54:33.516Z,SPL1601X02000004
,ObjectId(69281ebe99ed34904b27ec1b),true,1,1764237336,2025-11-27T09:55:37.001Z,2025-11-27T09:55:37.001Z,SPL1601X02000005
,ObjectId(69281ebe99ed34904b27ec1b),false,,1764237415,2025-11-27T09:56:55.569Z,2025-11-27T09:56:55.569Z,SPL1601X02000005
,ObjectId(69281f2499ed345da927ec1f),true,1,1764237428,2025-11-27T09:57:08.435Z,2025-11-27T09:57:08.435Z,SPL1601X02000006
,ObjectId(69281f2499ed345da927ec1f),false,,1764237508,2025-11-27T09:58:28.617Z,2025-11-27T09:58:28.617Z,SPL1601X02000006
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764238513,2025-11-27T10:15:13.159Z,2025-11-27T10:15:13.159Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764238839,2025-11-27T10:20:39.432Z,2025-11-27T10:20:39.432Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),true,1,1764238862,2025-11-27T10:21:02.842Z,2025-11-27T10:21:02.842Z,SPL1601X02000001
,ObjectId(69272c6299ed3407f627ccb5),false,,1764238944,2025-11-27T10:22:24.492Z,2025-11-27T10:22:24.492Z,SPL1601X02000001
,ObjectId(6927852799ed342af827d336),true,1,1764238964,2025-11-27T10:22:44.932Z,2025-11-27T10:22:44.932Z,SPL1601X02000002
,ObjectId(6927852799ed342af827d336),false,,1764239045,2025-11-27T10:24:05.564Z,2025-11-27T10:24:05.564Z,SPL1601X02000002
,ObjectId(692784db99ed34a35b27d334),true,1,1764239123,2025-11-27T10:25:23.767Z,2025-11-27T10:25:23.767Z,SPL1601X02000003
,ObjectId(692784db99ed34a35b27d334),false,,1764239414,2025-11-27T10:30:14.646Z,2025-11-27T10:30:14.646Z,SPL1601X02000003
,ObjectId(692829f799ed343add27f1af),true,1,1764240098,2025-11-27T10:41:38.610Z,2025-11-27T10:41:38.610Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764240265,2025-11-27T10:44:25.266Z,2025-11-27T10:44:25.266Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764240671,2025-11-27T10:51:11.624Z,2025-11-27T10:51:11.624Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764240720,2025-11-27T10:52:00.548Z,2025-11-27T10:52:00.548Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764240771,2025-11-27T10:52:51.261Z,2025-11-27T10:52:51.261Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764240845,2025-11-27T10:54:05.593Z,2025-11-27T10:54:05.593Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764240887,2025-11-27T10:54:47.701Z,2025-11-27T10:54:47.701Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764240965,2025-11-27T10:56:05.701Z,2025-11-27T10:56:05.701Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241013,2025-11-27T10:56:53.925Z,2025-11-27T10:56:53.925Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241050,2025-11-27T10:57:30.842Z,2025-11-27T10:57:30.842Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764241070,2025-11-27T10:57:50.738Z,2025-11-27T10:57:50.738Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241087,2025-11-27T10:58:07.768Z,2025-11-27T10:58:07.768Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764241160,2025-11-27T10:59:20.777Z,2025-11-27T10:59:20.777Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241173,2025-11-27T10:59:33.862Z,2025-11-27T10:59:33.862Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764241174,2025-11-27T10:59:34.103Z,2025-11-27T10:59:34.103Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241191,2025-11-27T10:59:51.982Z,2025-11-27T10:59:51.982Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),true,1,1764241324,2025-11-27T11:02:04.282Z,2025-11-27T11:02:04.282Z,SPL1601X02000007
,ObjectId(692829f799ed343add27f1af),false,,1764241350,2025-11-27T11:02:30.928Z,2025-11-27T11:02:30.928Z,SPL1601X02000007
,ObjectId(69282a6599ed344c7e27f1b1),true,1,1764241404,2025-11-27T11:03:24.094Z,2025-11-27T11:03:24.094Z,SPL1601X02000008
,ObjectId(69282a6599ed344c7e27f1b1),false,,1764241470,2025-11-27T11:04:30.950Z,2025-11-27T11:04:30.950Z,SPL1601X02000008
,ObjectId(69282ada99ed34eb4427f1b3),true,1,1764241490,2025-11-27T11:04:50.395Z,2025-11-27T11:04:50.395Z,SPL1601X02000009
,ObjectId(69282ada99ed34eb4427f1b3),false,,1764241576,2025-11-27T11:06:16.013Z,2025-11-27T11:06:16.013Z,SPL1601X02000009
,ObjectId(6928334e99ed340fbb27f456),true,1,1764242834,2025-11-27T11:27:14.085Z,2025-11-27T11:27:14.085Z,SPL1601X02000010
,ObjectId(6928334e99ed340fbb27f456),false,,1764242971,2025-11-27T11:29:31.945Z,2025-11-27T11:29:31.945Z,SPL1601X02000010
